build,R,V,precision,recall,fscore,tau,openmvs_total_s,wall_s,eval_wall_s,points,view_ms_mean,view_ms_max,n_views,log,eval_dir
tier1_math,0,8,0.6799,0.8271,0.7463,0.005,454.355,463.73,129.61,20801096,210.3,484,753,DensifyPointCloud-260429075825006E65.log,C:\Pro\TanksAndTemples\data\training\Truck\evaluation_R0_V8_tier1_math
tier1_math,0,16,0.6863,0.8134,0.7445,0.005,564.049,574.31,130.41,21562575,352.9,690,753,DensifyPointCloud-260429080830000221.log,C:\Pro\TanksAndTemples\data\training\Truck\evaluation_R0_V16_tier1_math
c3_lut,1,8,0.6827,0.7185,0.7001,0.005,104.549,106.87,79.69,5824189,57.3,147,753,DensifyPointCloud-2604290830100017E9.log,C:\Pro\TanksAndTemples\data\training\Truck\evaluation_R1_V8_c3_lut
c3_lut,1,16,0.6891,0.7103,0.6995,0.005,144.582,146.87,81.19,5748715,97.3,205,753,DensifyPointCloud-260429083328006999.log,C:\Pro\TanksAndTemples\data\training\Truck\evaluation_R1_V16_c3_lut
c3_lut,0,8,0.6803,0.8269,0.7465,0.005,524.195,532.94,133.05,20799730,214.6,490,753,DensifyPointCloud-260429083727005969.log,C:\Pro\TanksAndTemples\data\training\Truck\evaluation_R0_V8_c3_lut
c3_lut,0,16,0.686,0.8131,0.7442,0.005,609.454,620.56,150.19,21565734,357.5,690,753,DensifyPointCloud-26042908484300605D.log,C:\Pro\TanksAndTemples\data\training\Truck\evaluation_R0_V16_c3_lut
d10_nan_guard,1,8,0.6823,0.7189,0.7001,0.005,103.886,106.31,80.14,5825816,57.2,130,753,DensifyPointCloud-2604290903420054F9.log,C:\Pro\TanksAndTemples\data\training\Truck\evaluation_R1_V8_d10_nan_guard
d10_nan_guard,1,16,0.6891,0.7103,0.6995,0.005,144.75,147.05,79.97,5750847,97.4,191,753,DensifyPointCloud-260429090656006B7D.log,C:\Pro\TanksAndTemples\data\training\Truck\evaluation_R1_V16_d10_nan_guard
d10_nan_guard,0,8,0.6804,0.8267,0.7464,0.005,545.182,554.07,131.71,20798323,216.3,479,753,DensifyPointCloud-260429091053006A21.log,C:\Pro\TanksAndTemples\data\training\Truck\evaluation_R0_V8_d10_nan_guard
d10_nan_guard,0,16,0.686,0.8135,0.7443,0.005,618.867,632.95,128.56,21565711,356.1,691,753,DensifyPointCloud-260429092230005A01.log,C:\Pro\TanksAndTemples\data\training\Truck\evaluation_R0_V16_d10_nan_guard
d7_skip_views,1,8,0.6824,0.7184,0.6999,0.005,104.291,107.09,80.8,5823138,58.1,133,753,DensifyPointCloud-260429093912002061.log,C:\Pro\TanksAndTemples\data\training\Truck\evaluation_R1_V8_d7_skip_views
d7_skip_views,1,16,0.6892,0.7098,0.6993,0.005,145.463,147.76,82.65,5744749,99.0,214,753,DensifyPointCloud-260429094231006A55.log,C:\Pro\TanksAndTemples\data\training\Truck\evaluation_R1_V16_d7_skip_views
d7_skip_views,0,8,0.6802,0.8271,0.7465,0.005,481.47,490.57,133.9,20804955,215.0,390,753,DensifyPointCloud-260429094633007415.log,C:\Pro\TanksAndTemples\data\training\Truck\evaluation_R0_V8_d7_skip_views
d7_skip_views,0,16,0.6863,0.813,0.7443,0.005,623.313,633.41,132.68,21568550,358.8,703,753,DensifyPointCloud-260429095714001F11.log,C:\Pro\TanksAndTemples\data\training\Truck\evaluation_R0_V16_d7_skip_views
a1_refcache,1,8,0.6825,0.7188,0.7002,0.005,100.255,102.61,83.67,5825345,53.4,133,753,DensifyPointCloud-260429101834004F8D.log,C:\Pro\TanksAndTemples\data\training\Truck\evaluation_R1_V8_a1_refcache
a1_refcache,1,16,0.6891,0.7098,0.6993,0.005,139.463,141.85,81.56,5749778,90.8,195,753,DensifyPointCloud-260429102151004911.log,C:\Pro\TanksAndTemples\data\training\Truck\evaluation_R1_V16_a1_refcache
a1_refcache,0,8,0.6802,0.8269,0.7464,0.005,427.1,435.88,126.29,20800651,198.1,460,753,DensifyPointCloud-260429102545002881.log,C:\Pro\TanksAndTemples\data\training\Truck\evaluation_R0_V8_a1_refcache
a1_refcache,0,16,0.6844,0.8132,0.7433,0.005,630.192,640.24,131.39,21691529,328.3,633,753,DensifyPointCloud-2604291035180076A1.log,C:\Pro\TanksAndTemples\data\training\Truck\evaluation_R0_V16_a1_refcache
c4_rodrigues,1,8,0.6826,0.7184,0.7,0.005,104.414,106.81,93.7,5822788,53.6,128,753,DensifyPointCloud-260429114450002635.log,C:\Pro\TanksAndTemples\data\training\Truck\evaluation_R1_V8_c4_rodrigues
c4_rodrigues,1,16,0.6896,0.7097,0.6995,0.005,211.607,216.51,165.56,5742211,119.0,279,753,DensifyPointCloud-2604291148210078A5.log,C:\Pro\TanksAndTemples\data\training\Truck\evaluation_R1_V16_c4_rodrigues
c4_rodrigues,0,8,0.681,0.8266,0.7468,0.005,789.424,810.0,261.69,20792234,270.2,547,753,DensifyPointCloud-260429115456007999.log,C:\Pro\TanksAndTemples\data\training\Truck\evaluation_R0_V8_c4_rodrigues
a1_refcache_v2,1,8,0.6826,0.7185,0.7001,0.005,105.163,108.31,84.93,5824598,55.0,144,753,DensifyPointCloud-26042914411700462D.log,C:\Pro\TanksAndTemples\data\training\Truck\evaluation_R1_V8_a1_refcache_v2
a1_refcache_v2,1,16,0.6886,0.7101,0.6992,0.005,140.643,143.78,80.41,5747973,91.7,211,753,DensifyPointCloud-2604291444440040BD.log,C:\Pro\TanksAndTemples\data\training\Truck\evaluation_R1_V16_a1_refcache_v2
a1_refcache_v2,0,8,0.6801,0.827,0.7464,0.005,473.803,482.68,133.93,20803411,207.3,497,753,DensifyPointCloud-2604291448400079AD.log,C:\Pro\TanksAndTemples\data\training\Truck\evaluation_R0_V8_a1_refcache_v2
a1_refcache_v2,0,16,0.6862,0.8135,0.7445,0.005,587.851,597.47,132.08,21567492,332.6,662,753,DensifyPointCloud-260429145912006CF5.log,C:\Pro\TanksAndTemples\data\training\Truck\evaluation_R0_V16_a1_refcache_v2
c4_rodrigues_v2,1,8,0.6832,0.7184,0.7004,0.005,138.548,140.94,109.76,5822045,52.8,171,753,DensifyPointCloud-260429151216003D5D.log,C:\Pro\TanksAndTemples\data\training\Truck\evaluation_R1_V8_c4_rodrigues_v2
c4_rodrigues_v2,1,16,0.6898,0.71,0.6997,0.005,145.655,148.61,84.45,5745309,91.6,196,753,DensifyPointCloud-2604291516410027B1.log,C:\Pro\TanksAndTemples\data\training\Truck\evaluation_R1_V16_c4_rodrigues_v2
c4_rodrigues_v2,0,8,0.6802,0.8269,0.7464,0.005,462.037,471.13,136.93,20784803,208.8,498,753,DensifyPointCloud-26042915204700488D.log,C:\Pro\TanksAndTemples\data\training\Truck\evaluation_R0_V8_c4_rodrigues_v2
c4_rodrigues_v2,0,16,0.6863,0.8134,0.7444,0.005,617.348,628.53,124.33,21556663,331.6,640,753,DensifyPointCloud-260429153109004145.log,C:\Pro\TanksAndTemples\data\training\Truck\evaluation_R0_V16_c4_rodrigues_v2
